"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Songtao Lv","2014/05/07","Mesoscopic TiO 2 /CH 3 NH 3 PbI 3 perovskite solar cells with new hole-transporting materials containing butadiene derivatives  ","https://pubs.rsc.org/en/content/articlehtml/2014/cc/c4cc02211d","10.1039/C4CC02211D","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","","","","","","","Evaporation","60-100 nm"
"Lingling Zheng","2014/07/31","A hydrophobic hole transporting oligothiophene for planar perovskite solar cells with improved stability  ","https://pubs.rsc.org/en/content/articlehtml/2014/cc/c4cc04680c","10.1039/C4CC04680C","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","","","","","","","Evaporation","80 nm"
"Xu Dong","2014/08/14","The effect of ALD-Zno layers on the formation of CH 3 NH 3 PbI 3 with different perovskite precursors and sintering temperatures  ","https://pubs.rsc.org/en/content/articlehtml/2014/cc/c4cc04685d","10.1039/C4CC04685D","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Ag","FALSE","nip","Spin-coating","","","Spin-coating","","100 C 10 min","","","","Evaporation","120 nm"
"Yakun Song","2014/10/20","Energy level tuning of TPB -based hole-transporting materials for highly efficient perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/cc/c4cc06493c","10.1039/C4CC06493C","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","","","","Spin-coating","","","Evaporation","80-120 nm"
"Sang Do Sung","2014/09/24","14.8% perovskite solar cells employing carbazole derivatives as hole transporting materials  ","https://pubs.rsc.org/en/content/articlehtml/2014/cc/c4cc06716a","10.1039/C4CC06716A","SLG | FTO","sgt-405","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","","","","","","","Evaporation","60-100 nm"
"Qinglong Jiang","2014/10/06","Rutile TiO 2 nanowire-based perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/cc/c4cc07367c","10.1039/C4CC07367C","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","","","","","","","Evaporation","80 nm"
"Lidón Gil-Escrig","2014/11/13","Efficient photovoltaic and electroluminescent perovskite devices  ","https://pubs.rsc.org/en/content/articlehtml/2015/cc/c4cc07518h","10.1039/C4CC07518H","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","Spin-coating","","","","","","","","","Evaporation","100 nm"
"Xue-Ping Cui","2014/11/28","Electrodeposition of PbO and its in situ conversion to CH 3 NH 3 PbI 3 for mesoscopic perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/cc/c4cc08269a","10.1039/C4CC08269A","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","","","Spin-coating","4000 rpm 30 s","500 C 30 min","Evaporation","80 nm"
"Natalia Yantara","2015/02/09","Loading of mesoporous titania films by CH 3 NH 3 PbI 3 perovskite, single step vs. sequential deposition  ","https://pubs.rsc.org/en/content/articlehtml/2015/cc/c4cc09556a","10.1039/C4CC09556A","UNKNOWN","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","","","","Spin-coating","4000 rpm 30 s","","Evaporation","90100 nm"
"Yi-Fang Chiang","2014/01/31","High voltage and efficient bilayer heterojunction solar cells based on an organic–inorganic hybrid perovskite absorber with a low-cost flexible substrate  ","https://pubs.rsc.org/en/content/articlehtml/2014/cp/c4cp00298a","10.1039/C4CP00298A","PET | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","TRUE","pin","Spin-coating","","","Spin-coating","","60 C 5 min","Evaporation","","","Evaporation","100 nm"
"Siliu Lv","2014/07/10","One-step, solution-processed formamidinium lead trihalide (FAPbI (3−x) Cl x ) for mesoscopic perovskite–polymer solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/cp/c4cp02113d","10.1039/C4CP02113D","SLG | FTO","P3HT","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","Spin-coating","5000 rpm 60 s","120 C 30 min","Spin-coating","4500 rpm 40 s","550 C 30 min","Evaporation","60 nm"
"Qing Shen","2014/08/05","Charge transfer and recombination at the metal oxide/CH 3 NH 3 PbClI 2 / spiro -OMeTAD interfaces: uncovering the detailed mechanism behind high efficiency solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/cp/c4cp03073g","10.1039/C4CP03073G","SLG | FTO","spiro-ometad","MAPbClI2","MAPbClI","MA","1.0","Pb","1.0","I, Cl","2.0, 1.0","TiO2","Au","FALSE","nip","Spin-coating","","100 C 45 minutes","Spin-coating","","100 C 45 minutes","Spin-coating","","550 C 30 min","Evaporation","60-100 nm"
"Elisa M. Miller","2014/09/04","Substrate-controlled band positions in CH 3 NH 3 PbI 3 perovskite films ","https://pubs.rsc.org/en/content/articlehtml/2014/cp/c4cp03533j","10.1039/C4CP03533J","SLG | FTO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Cu","FALSE","","","","","","","","","","","Evaporation",""
"Madhu Seetharaman S","2014/09/24","Efficient organic–inorganic hybrid perovskite solar cells processed in air ","https://pubs.rsc.org/en/content/articlehtml/2014/cp/c4cp03726j","10.1039/C4CP03726J","SLG | FTO","P3HT","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","1500 rpm 2 min","","Spin-coating","2000 rpm 45 s","","","","","Evaporation","120 nm"
"Philipp Löper","2014/11/17","Organic–inorganic halide perovskite/crystalline silicon four-terminal tandem solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/cp/c4cp03788j","10.1039/C4CP03788J","SLG | ITO","MoOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","","","","","","","","","","","Evaporation","800 nm"
"Xiaoliang Liu","2014/11/07","Electronic structures at the interface between Au and CH 3 NH 3 PbI 3 ","https://pubs.rsc.org/en/content/articlehtml/2015/cp/c4cp03842h","10.1039/C4CP03842H","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","pin","Spin-coating","3000 rpm 60 s","135 C 20 min","Spin-coating","6000 rpm 45 s","","","","","Evaporation","60-100 nm"
"Hsin-Sheng Duan","2014/10/29","The identification and characterization of defect states in hybrid organic–inorganic perovskite photovoltaics  ","https://pubs.rsc.org/en/content/articlehtml/2015/cp/c4cp04479g","10.1039/C4CP04479G","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","","","Evaporation","60-100 nm"
"Huiyun Wei","2014/12/02","Enhanced charge collection with ultrathin AlO x electron blocking layer for hole-transporting material-free perovskite solar cell  ","https://pubs.rsc.org/en/content/articlehtml/2015/cp/c4cp04902k","10.1039/C4CP04902K","SLG | FTO","MoO3","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","carbon","FALSE","","","","","Spin-coating","2000 rpm 60 s","90 C 2 min","Spin-coating","","500 C 30 min","Evaporation","60-100 nm"
"Bilel Louahem M’Sabah","2015/03/05","Amplification of light collection in solid-state dye-sensitized solar cells via the antenna effect through supramolecular assembly  ","https://pubs.rsc.org/en/content/articlehtml/2015/cp/c4cp05712k","10.1039/C4CP05712K","SLG | FTO","spiro-ometad","CsSnI3","CsSnI","Cs","1.0","Sn","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","","","","","","Spin-coating","","","Evaporation","80-120 nm"
"Xiaoliang Zhang","2015/04/17","ZnO@Ag 2 S core–shell nanowire arrays for environmentally friendly solid-state quantum dot-sensitized solar cells with panchromatic light capture and enhanced electron collection  ","https://pubs.rsc.org/en/content/articlehtml/2015/cp/c4cp06068g","10.1039/C4CP06068G","SLG | FTO","P3HT","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Au","FALSE","","Spin-coating","2500 rpm 30 s","100 C 20 min","","","","","","","Evaporation","60-100 nm"
"Zonghao Liu","2014/11/05","p-Type mesoscopic NiO as an active interfacial layer for carbon counter electrode based perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/dt/c4dt02904f","10.1039/C4DT02904F","SLG | FTO","NiO","NiO(MAPbI3)","","","","","","","","TiO2","graphite","FALSE","pin","","","","Spin-coating","6500 rpm 60 s","","Spray pyrolysis","6500 rpm 60 s","","Screen printing",""
"Sadia Ameen","2015/02/17","Exclusion of metal oxide by an RF sputtered Ti layer in flexible perovskite solar cells: energetic interface between a Ti layer and an organic charge transporting layer ","https://pubs.rsc.org/en/content/articlehtml/2015/dt/c4dt03920c","10.1039/C4DT03920C","PET | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","TRUE","nip","Spin-coating","3000 rpm 30 s","100 C 15 min","Spin-coating","2000 rpm 40 s","100 C 30 min","","","","Evaporation","80-120 nm"
"Qi Wang","2014/04/15","Large fill-factor bilayer iodine perovskite solar cells fabricated by a low-temperature solution-process ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee00233d","10.1039/C4EE00233D","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ICBA","Al","FALSE","pin","Spin-coating","","","Spin-coating","","100 C 60 minutes","Spin-coating","","100 C 60 minutes","Evaporation","100 nm"
"Po-Yen Chen","2014/07/23","Environmentally responsible fabrication of efficient perovskite solar cells from recycled car batteries  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee00965g","10.1039/C4EE00965G","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 seconds","","Spin-coating","6500 rpm 60 seconds","","Spin-coating","3000 rpm 30 minutes","500 C 30 minutes","Evaporation","80 nm"
"Nakita K. Noel","2014/05/01","Lead-free organic–inorganic tin halide perovskites for photovoltaic applications  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01076k","10.1039/C4EE01076K","SLG | FTO","spiro-ometad","MASnI3","MASnI","MA","1.0","Sn","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","","","Spin-coating","2000 rpm 1 min","","Evaporation","50 nm"
"Zhengguo Xiao","2014/05/20","Efficient, high yield perovskite photovoltaic devices grown by interdiffusion of solution-processed precursor stacking layers  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01138d","10.1039/C4EE01138D","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","","","","","","","","","","","Evaporation",""
"Jangwon Seo","2014/06/12","Benefits of very thin PCBM and LiF layers for solution-processed p–i–n perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01216j","10.1039/C4EE01216J","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","pin","Spin-coating","3000 rpm 60 s","","Spin-coating","1000 rpm 20 s 4000 rpm 60 s","","Spin-coating","1200 rpm 60 s","","Evaporation",""
"Peng Qin","2014/07/15","Low band gap S , N -heteroacene-based oligothiophenes as hole-transporting and light absorbing materials for efficient perovskite-based solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01220h","10.1039/C4EE01220H","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","6500 rpm 30 s","70 C 15 min","Spray pyrolysis","","","Evaporation","80-120 nm"
"Cristina Roldán-Carmona","2014/07/15","High efficiency single-junction semitransparent perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01389a","10.1039/C4EE01389A","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","Al2O3","Au","FALSE","pin","Spin-coating","","","","","","","","","Evaporation","60-100 nm"
"Yongzhen Wu","2014/06/24","Retarding the crystallization of PbI 2 for highly reproducible planar-structured perovskite solar cells via sequential deposition  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01624f","10.1039/C4EE01624F","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","","","Evaporation","60-100 nm"
"Zhanhua Wei","2014/08/12","Cost-efficient clamping solar cells using candle soot for hole extraction from ambipolar perovskites  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee01983k","10.1039/C4EE01983K","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","carbon","FALSE","nip","","","","","","","","","","",""
"Byeong Jo Kim","2014/10/03","Highly efficient and bending durable perovskite solar cells: toward a wearable power source  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee02441a","10.1039/C4EE02441A","PEN | ITO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","TRUE","nip","Spin-coating","2500 rpm 45 s","","Spin-coating","2000 rpm 45 s","","","","","Evaporation","100 nm"
"E. L. Unger","2014/08/26","Hysteresis and transient behavior in current–voltage measurements of hybrid-perovskite absorber solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/ee/c4ee02465f","10.1039/C4EE02465F","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","","","","","","Evaporation","60-100 nm"
"Wei Chen","2014/12/03","Hybrid interfacial layer leads to solid performance improvement of inverted perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee02833c","10.1039/C4EE02833C","SLG | FTO","NiO","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","","","","Spin-coating","6000 rpm 30 seconds","","","","","Evaporation","100 nm"
"Luca Bertoluzzi","2015/01/14","Cooperative kinetics of depolarization in CH 3 NH 3 PbI 3 perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee03171g","10.1039/C4EE03171G","SLG | FTO","TPD","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","carbon","FALSE","","","","","","","","","","","",""
"James M. Ball","2014/12/03","Optical properties and limiting photocurrent of thin-film perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee03224a","10.1039/C4EE03224A","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","","100 C 5 minutes","Spin-coating","","500 C 30 minutes","Evaporation","60-100 nm"
"Colin D. Bailie","2014/12/23","Semi-transparent perovskite solar cells for tandems with silicon and CIGS  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee03322a","10.1039/C4EE03322A","PET | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","TRUE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","","","Evaporation","100 nm"
"Paramaguru Ganesan","2015/04/21","A simple spiro-type hole transporting material for efficient perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee03773a","10.1039/C4EE03773A","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","","70 C 30 min","Spin-coating","","","Evaporation","80 nm"
"Yehao Deng","2015/03/25","Scalable fabrication of efficient organolead trihalide perovskite solar cells with doctor-bladed active layers ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee03907f","10.1039/C4EE03907F","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC60BM","Al","FALSE","pin","Spin-coating","3000 rpm 50 s","","Spin-coating","","","Spin-coating","6000 rpm 35 s","100 C 60 minutes","Evaporation","100 nm"
"Yong Zhao","2015/02/12","Anomalously large interface charge in polarity-switchable photovoltaic devices: an indication of mobile ions in organic–inorganic halide perovskites  ","https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee04064c","10.1039/C4EE04064C","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","carbon","FALSE","","","","","","","","","","","Evaporation","100 nm"
"Yixin Zhao","2014/07/14","Mesoporous perovskite solar cells: material composition, charge-carrier dynamics, and device characteristics ","https://pubs.rsc.org/en/content/articlehtml/2014/fd/c4fd00128a","10.1039/C4FD00128A","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","4000 rpm 30 s","","","","","Spin-coating","2500 rpm 30 s","100 C 5 min","Evaporation","150 nm"
"Haining Chen","2014/08/18","Liquid phase deposition of TiO 2 nanolayer affords CH 3 NH 3 PbI 3 /nanocarbon solar cells with high open-circuit voltage  ","https://pubs.rsc.org/en/content/articlehtml/2014/fd/c4fd00155a","10.1039/C4FD00155A","SLG | FTO","UNKNOWN","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","","","","","Spin-coating","2500 rpm 30 s","100 C 15 min","","","","Evaporation","80-120 nm"
"Chun-Chao Chen","2015/01/20","Perovskite/polymer monolithic hybrid tandem solar cells utilizing a low-temperature, full solution process  ","https://pubs.rsc.org/en/content/articlehtml/2015/mh/c4mh00237g","10.1039/C4MH00237G","SLG | ITO","PFN","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PFN","Al","FALSE","","","","","Spin-coating","4000 rpm 60 s","100 C 5 min","","","","Evaporation","180 nm"
"Ye Zhang","2015/03/04","Charge selective contacts, mobile ions and anomalous hysteresis in organic–inorganic perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2015/mh/c4mh00238e","10.1039/C4MH00238E","SLG | FTO","spiro-ometad","UNKNOWN","","","","","","","","TiO2","Au","FALSE","nip","Spin-coating","2000 rpm 45 seconds","","Spin-coating","2000 rpm 45 s","","Spin-coating","2000 rpm 1 min","","Evaporation","60-100 nm"
"Hak-Beom Kim","2014/04/04","Mixed solvents for the optimization of morphology in solution-processed, inverted-type perovskite/fullerene hybrid solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/nr/c4nr00130c","10.1039/C4NR00130C","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","pin","Spin-coating","","","","","","Spin-coating","","","Evaporation","100 nm"
"Gill Sang Han","2014/03/21","3-D TiO 2 nanoparticle/ITO nanowire nanocomposite antenna for efficient charge collection in solid state dye-sensitized solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2014/nr/c4nr00621f","10.1039/C4NR00621F","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","","","","Spin-coating","","100 C 15 min","Spin-coating","","","Evaporation","80 nm"
